date,agr_m_sa
1993-01-01,260.1
1993-02-01,258.3
1993-03-01,255.9
1993-04-01,252.9
1993-05-01,249.5
1993-06-01,245.9
1993-07-01,242.8
1993-08-01,240.7
1993-09-01,239.2
1993-10-01,237.8
1993-11-01,235.9
1993-12-01,233.1
1994-01-01,229.5
1994-02-01,225.7
1994-03-01,222.1
1994-04-01,218.9
1994-05-01,216.1
1994-06-01,213.5
1994-07-01,210.9
1994-08-01,208.5
1994-09-01,206.7
1994-10-01,205.6
1994-11-01,204.9
1994-12-01,204.1
1995-01-01,202.7
1995-02-01,200.7
1995-03-01,198.4
1995-04-01,196.2
1995-05-01,194.4
1995-06-01,193.2
1995-07-01,192.3
1995-08-01,191.7
1995-09-01,191.1
1995-10-01,190.8
1995-11-01,190.7
1995-12-01,190.7
1996-01-01,190.4
1996-02-01,189.8
1996-03-01,188.9
1996-04-01,187.7
1996-05-01,186.4
1996-06-01,185.2
1996-07-01,184.5
1996-08-01,184.4
1996-09-01,184.6
1996-10-01,184.8
1996-11-01,184.5
1996-12-01,183.4
1997-01-01,181.5
1997-02-01,179.2
1997-03-01,177.3
1997-04-01,177.2
1997-05-01,179.7
1997-06-01,184.1
1997-07-01,188.9
1997-08-01,192.5
1997-09-01,193.4
1997-10-01,191.4
1997-11-01,187.5
1997-12-01,183.1
1998-01-01,179.9
1998-02-01,178.0
1998-03-01,176.7
1998-04-01,174.9
1998-05-01,171.8
1998-06-01,167.7
1998-07-01,163.4
1998-08-01,160.3
1998-09-01,159.3
1998-10-01,160.5
1998-11-01,163.2
1998-12-01,166.6
1999-01-01,169.9
1999-02-01,172.6
1999-03-01,174.2
1999-04-01,174.6
1999-05-01,174.0
1999-06-01,172.7
1999-07-01,171.5
1999-08-01,170.7
1999-09-01,170.6
1999-10-01,171.5
1999-11-01,173.2
1999-12-01,175.1
2000-01-01,176.9
2000-02-01,178.1
2000-03-01,178.8
2000-04-01,179.0
2000-05-01,179.0
2000-06-01,178.9
2000-07-01,178.7
2000-08-01,178.4
2000-09-01,178.2
2000-10-01,178.0
2000-11-01,178.0
2000-12-01,178.3
2001-01-01,179.1
2001-02-01,180.6
2001-03-01,182.9
2001-04-01,185.5
2001-05-01,188.1
2001-06-01,190.1
2001-07-01,191.1
2001-08-01,191.1
2001-09-01,190.3
2001-10-01,189.3
2001-11-01,188.8
2001-12-01,189.2
2002-01-01,190.4
2002-02-01,192.0
2002-03-01,193.7
2002-04-01,195.5
2002-05-01,196.9
2002-06-01,197.5
2002-07-01,197.5
2002-08-01,196.7
2002-09-01,195.3
2002-10-01,194.0
2002-11-01,193.0
2002-12-01,192.6
2003-01-01,192.9
2003-02-01,193.5
2003-03-01,193.7
2003-04-01,193.4
2003-05-01,192.7
2003-06-01,192.3
2003-07-01,192.1
2003-08-01,192.5
2003-09-01,193.2
2003-10-01,194.0
2003-11-01,194.5
2003-12-01,194.6
2004-01-01,194.3
2004-02-01,194.1
2004-03-01,194.4
2004-04-01,195.2
2004-05-01,196.2
2004-06-01,197.4
2004-07-01,198.4
2004-08-01,199.1
2004-09-01,199.0
2004-10-01,198.2
2004-11-01,197.0
2004-12-01,195.9
2005-01-01,195.2
2005-02-01,195.2
2005-03-01,196.2
2005-04-01,198.1
2005-05-01,200.5
2005-06-01,202.4
2005-07-01,203.2
2005-08-01,202.8
2005-09-01,201.5
2005-10-01,200.0
2005-11-01,198.8
2005-12-01,198.5
2006-01-01,199.2
2006-02-01,200.4
2006-03-01,201.6
2006-04-01,202.5
2006-05-01,203.2
2006-06-01,204.2
2006-07-01,205.6
2006-08-01,207.2
2006-09-01,208.8
2006-10-01,210.1
2006-11-01,210.8
2006-12-01,210.8
2007-01-01,210.6
2007-02-01,210.5
2007-03-01,211.0
2007-04-01,212.0
2007-05-01,213.1
2007-06-01,213.9
2007-07-01,214.0
2007-08-01,213.7
2007-09-01,213.5
2007-10-01,214.0
2007-11-01,215.4
2007-12-01,217.5
2008-01-01,219.9
2008-02-01,222.5
2008-03-01,225.2
2008-04-01,228.2
2008-05-01,231.3
2008-06-01,234.3
2008-07-01,236.8
2008-08-01,238.3
2008-09-01,238.2
2008-10-01,236.7
2008-11-01,234.3
2008-12-01,231.7
2009-01-01,229.8
2009-02-01,228.9
2009-03-01,229.3
2009-04-01,231.3
2009-05-01,234.5
2009-06-01,237.9
2009-07-01,240.7
2009-08-01,242.6
2009-09-01,243.0
2009-10-01,241.8
2009-11-01,239.5
2009-12-01,236.7
2010-01-01,234.4
2010-02-01,233.2
2010-03-01,232.6
2010-04-01,231.6
2010-05-01,229.8
2010-06-01,226.9
2010-07-01,222.9
2010-08-01,219.0
2010-09-01,216.9
2010-10-01,217.7
2010-11-01,221.2
2010-12-01,226.2
2011-01-01,230.9
2011-02-01,234.6
2011-03-01,237.2
2011-04-01,239.6
2011-05-01,242.7
2011-06-01,247.3
2011-07-01,253.3
2011-08-01,259.0
2011-09-01,262.5
2011-10-01,262.9
2011-11-01,260.5
2011-12-01,256.4
2012-01-01,252.8
2012-02-01,250.7
2012-03-01,250.4
2012-04-01,251.1
2012-05-01,251.6
2012-06-01,251.1
2012-07-01,249.9
2012-08-01,248.8
2012-09-01,248.8
2012-10-01,249.9
2012-11-01,251.8
2012-12-01,253.8
2013-01-01,255.5
2013-02-01,256.7
2013-03-01,257.6
2013-04-01,258.6
2013-05-01,259.6
2013-06-01,260.9
2013-07-01,262.5
2013-08-01,264.0
2013-09-01,265.3
2013-10-01,266.2
2013-11-01,266.4
2013-12-01,266.3
2014-01-01,266.0
2014-02-01,266.1
2014-03-01,267.1
2014-04-01,269.2
2014-05-01,271.7
2014-06-01,273.9
2014-07-01,275.2
2014-08-01,275.6
2014-09-01,275.2
2014-10-01,274.3
2014-11-01,273.6
2014-12-01,273.5
2015-01-01,274.2
2015-02-01,275.6
2015-03-01,277.2
2015-04-01,278.8
2015-05-01,280.1
2015-06-01,281.2
2015-07-01,281.9
2015-08-01,282.2
2015-09-01,282.2
2015-10-01,282.4
2015-11-01,282.9
2015-12-01,283.9
2016-01-01,285.4
2016-02-01,287.1
2016-03-01,289.4
2016-04-01,291.7
2016-05-01,293.7
2016-06-01,295.4
2016-07-01,296.8
2016-08-01,297.7
2016-09-01,297.9
2016-10-01,297.4
2016-11-01,296.5
2016-12-01,295.7
2017-01-01,295.4
2017-02-01,295.4
2017-03-01,295.6
2017-04-01,296.1
2017-05-01,297.1
2017-06-01,298.3
2017-07-01,299.8
2017-08-01,301.4
2017-09-01,302.9
2017-10-01,304.1
2017-11-01,304.7
2017-12-01,304.8
2018-01-01,304.8
2018-02-01,305.2
2018-03-01,305.9
2018-04-01,306.4
2018-05-01,306.5
2018-06-01,306.2
2018-07-01,305.4
2018-08-01,304.4
2018-09-01,303.6
2018-10-01,303.5
2018-11-01,304.1
2018-12-01,305.3
2019-01-01,306.7
2019-02-01,308.0
2019-03-01,309.5
2019-04-01,311.1
2019-05-01,312.8
2019-06-01,314.6
2019-07-01,316.5
2019-08-01,318.2
2019-09-01,319.3
2019-10-01,319.6
2019-11-01,319.3
2019-12-01,318.7
2020-01-01,318.0
2020-02-01,318.0
2020-03-01,318.6
2020-04-01,319.6
2020-05-01,320.7
2020-06-01,321.5
2020-07-01,321.8
2020-08-01,321.9
2020-09-01,321.7
